Source,Target,Weight,Type
1915-23,17,0.090909091,undirected
1915-23,20,0.024242424,undirected
1915-23,21,0.048484848,undirected
1915-23,24,0.048484848,undirected
1915-24,1,0.064676617,undirected
1915-24,2,0.0049751244,undirected
1915-24,4,0.07960199,undirected
1915-24,7,0.0049751244,undirected
1915-24,9,0.0049751244,undirected
1915-24,11,0.15920398,undirected
1915-24,14,0.019900498,undirected
1915-24,15,0.034825871,undirected
1915-24,17,0.019900498,undirected
1915-24,20,0.029850746,undirected
1915-24,21,0.014925373,undirected
1915-25,0,0.012195122,undirected
1915-25,1,0.15853659,undirected
1915-25,4,0.024390244,undirected
1915-25,11,0.024390244,undirected
1915-25,12,0.048780488,undirected
1915-25,15,0.15853659,undirected
1915-25,16,0.06097561,undirected
1915-25,21,0.036585366,undirected
1915-25,22,0.024390244,undirected
1915-26,0,0.032608696,undirected
1915-26,1,0.057971014,undirected
1915-26,2,0.02173913,undirected
1915-26,4,0.02173913,undirected
1915-26,5,0.0072463768,undirected
1915-26,7,0.09057971,undirected
1915-26,11,0.061594203,undirected
1915-26,12,0.032608696,undirected
1915-26,13,0.061594203,undirected
1915-26,14,0.0036231884,undirected
1915-26,15,0.079710145,undirected
1915-26,16,0.036231884,undirected
1915-26,17,0.014492754,undirected
1915-27,4,0.023923445,undirected
1915-27,7,0.033492823,undirected
1915-27,11,0.14354067,undirected
1915-27,15,0.04784689,undirected
1915-27,17,0.10526316,undirected
1915-27,21,0.038277512,undirected
1915-27,22,0.023923445,undirected
1915-27,23,0.043062201,undirected
1915-28,1,0.018604651,undirected
1915-28,4,0.10232558,undirected
1915-28,6,0.013953488,undirected
1915-28,7,0.013953488,undirected
1915-28,11,0.055813953,undirected
1915-28,15,0.079069767,undirected
1915-28,18,0.0046511628,undirected
1915-28,19,0.018604651,undirected
1915-28,21,0.055813953,undirected
1915-28,22,0.018604651,undirected
1915-28,24,0.018604651,undirected
1915-29,4,0.055214724,undirected
1915-29,6,0.12269939,undirected
1915-29,7,0.0061349693,undirected
1915-29,11,0.19018405,undirected
1915-29,14,0.030674847,undirected
1915-29,16,0.036809816,undirected
1915-29,17,0.0061349693,undirected
1915-29,22,0.018404908,undirected
1915-30,2,0.0045248869,undirected
1915-30,3,0.076923077,undirected
1915-30,6,0.31674208,undirected
1915-30,7,0.0045248869,undirected
1915-30,11,0.031674208,undirected
1915-30,12,0.0045248869,undirected
1915-30,17,0.013574661,undirected
1915-30,19,0.0045248869,undirected
1915-30,24,0.049773756,undirected
1915-31,1,0.0033333333,undirected
1915-31,2,0.016666667,undirected
1915-31,3,0.043333333,undirected
1915-31,6,0.19333333,undirected
1915-31,7,0.023333333,undirected
1915-31,11,0.023333333,undirected
1915-31,14,0.086666667,undirected
1915-31,17,0.056666667,undirected
1915-31,24,0.03,undirected
1915-32,3,0.082304527,undirected
1915-32,6,0.053497942,undirected
1915-32,7,0.069958848,undirected
1915-32,11,0.037037037,undirected
1915-32,13,0.0041152263,undirected
1915-32,17,0.14814815,undirected
1915-32,21,0.024691358,undirected
1915-32,23,0.016460905,undirected
1915-33,3,0.088235294,undirected
1915-33,5,0.041176471,undirected
1915-33,6,0.052941176,undirected
1915-33,11,0.088235294,undirected
1915-33,12,0.0058823529,undirected
1915-33,14,0.047058824,undirected
1915-33,17,0.070588235,undirected
1915-33,19,0.058823529,undirected
1915-33,22,0.035294118,undirected
1915-33,24,0.0058823529,undirected
1915-34,0,0.021428571,undirected
1915-34,2,0.028571429,undirected
1915-34,3,0.16428571,undirected
1915-34,6,0.0071428571,undirected
1915-34,10,0.042857143,undirected
1915-34,11,0.057142857,undirected
1915-34,12,0.021428571,undirected
1915-34,13,0.014285714,undirected
1915-34,14,0.035714286,undirected
1915-34,16,0.014285714,undirected
1915-34,17,0.028571429,undirected
1915-34,23,0.014285714,undirected
1915-34,24,0.15,undirected
1915-35,0,0.0033112583,undirected
1915-35,4,0.067880795,undirected
1915-35,5,0.0049668874,undirected
1915-35,6,0.0016556291,undirected
1915-35,7,0.091059603,undirected
1915-35,9,0.0099337748,undirected
1915-35,10,0.01986755,undirected
1915-35,11,0.081125828,undirected
1915-35,12,0.046357616,undirected
1915-35,14,0.034768212,undirected
1915-35,15,0.024834437,undirected
1915-35,16,0.013245033,undirected
1915-35,17,0.0066225166,undirected
1915-35,18,0.0099337748,undirected
1915-35,19,0.0082781457,undirected
1915-35,20,0.016556291,undirected
1915-35,21,0.018211921,undirected
1915-35,22,0.034768212,undirected
1915-36,3,0.0096153846,undirected
1915-36,4,0.0048076923,undirected
1915-36,7,0.14903846,undirected
1915-36,9,0.024038462,undirected
1915-36,11,0.048076923,undirected
1915-36,12,0.076923077,undirected
1915-36,15,0.019230769,undirected
1915-36,16,0.0048076923,undirected
1915-36,17,0.014423077,undirected
1915-36,21,0.038461538,undirected
1915-36,22,0.096153846,undirected
1915-37,0,0.067226891,undirected
1915-37,1,0.016806723,undirected
1915-37,4,0.06442577,undirected
1915-37,6,0.0056022409,undirected
1915-37,7,0.036414566,undirected
1915-37,11,0.084033613,undirected
1915-37,13,0.019607843,undirected
1915-37,14,0.022408964,undirected
1915-37,16,0.022408964,undirected
1915-37,17,0.050420168,undirected
1915-37,20,0.014005602,undirected
1915-37,22,0.047619048,undirected
1915-37,23,0.016806723,undirected
1915-38,0,0.097435897,undirected
1915-38,4,0.020512821,undirected
1915-38,7,0.051282051,undirected
1915-38,11,0.015384615,undirected
1915-38,12,0.020512821,undirected
1915-38,13,0.056410256,undirected
1915-38,16,0.051282051,undirected
1915-38,17,0.14358974,undirected
1915-38,19,0.01025641,undirected
1915-39,1,0.010869565,undirected
1915-39,4,0.0054347826,undirected
1915-39,5,0.092391304,undirected
1915-39,7,0.10326087,undirected
1915-39,8,0.0054347826,undirected
1915-39,13,0.02173913,undirected
1915-39,14,0.02173913,undirected
1915-39,15,0.016304348,undirected
1915-39,16,0.11956522,undirected
1915-39,20,0.0054347826,undirected
1915-39,21,0.0054347826,undirected
1915-39,23,0.0054347826,undirected
1915-40,0,0.020689655,undirected
1915-40,1,0.020689655,undirected
1915-40,4,0.11034483,undirected
1915-40,7,0.04137931,undirected
1915-40,9,0.013793103,undirected
1915-40,11,0.13103448,undirected
1915-40,16,0.082758621,undirected
1915-40,17,0.0068965517,undirected
1915-40,21,0.0068965517,undirected
1915-41,4,0.18666667,undirected
1915-41,7,0.073333333,undirected
1915-41,16,0.14,undirected
1915-41,17,0.033333333,undirected
1915-41,21,0.02,undirected
1915-41,22,0.0066666667,undirected
1915-42,2,0.010638298,undirected
1915-42,4,0.042553191,undirected
1915-42,5,0.063829787,undirected
1915-42,10,0.031914894,undirected
1915-42,11,0.063829787,undirected
1915-42,13,0.042553191,undirected
1915-42,22,0.15957447,undirected
1916-1,20,0.25,undirected
1916-2,4,0.24038462,undirected
1916-2,7,0.028846154,undirected
1916-2,11,0.076923077,undirected
1916-2,16,0.019230769,undirected
1916-2,17,0.057692308,undirected
1916-2,21,0.028846154,undirected
1916-3,0,0.01754386,undirected
1916-3,3,0.035087719,undirected
1916-3,4,0.14035088,undirected
1916-3,5,0.01754386,undirected
1916-3,7,0.10526316,undirected
1916-3,9,0.035087719,undirected
1916-3,14,0.01754386,undirected
1916-3,21,0.01754386,undirected
1916-4,0,0.051282051,undirected
1916-4,4,0.11538462,undirected
1916-4,7,0.012820513,undirected
1916-4,9,0.025641026,undirected
1916-4,11,0.038461538,undirected
1916-4,12,0.025641026,undirected
1916-4,13,0.012820513,undirected
1916-4,14,0.012820513,undirected
1916-4,16,0.16666667,undirected
1916-4,22,0.038461538,undirected
1916-5,5,0.5,undirected
1916-5,19,0.5,undirected
1916-6,4,0.16666667,undirected
1916-6,9,0.013888889,undirected
1916-6,11,0.013888889,undirected
1916-6,17,0.16666667,undirected
1916-6,19,0.125,undirected
1916-6,20,0.013888889,undirected
1916-7,2,0.027777778,undirected
1916-7,4,0.11111111,undirected
1916-7,7,0.11111111,undirected
1916-7,12,0.027777778,undirected
1916-7,16,0.16666667,undirected
1916-7,19,0.083333333,undirected
1916-8,0,0.026315789,undirected
1916-8,4,0.15789474,undirected
1916-8,7,0.078947368,undirected
1916-8,13,0.026315789,undirected
1916-8,16,0.15789474,undirected
1916-8,22,0.052631579,undirected
1916-9,3,0.06779661,undirected
1916-9,4,0.25423729,undirected
1916-9,6,0.033898305,undirected
1916-9,11,0.050847458,undirected
1916-9,16,0.033898305,undirected
1916-9,24,0.050847458,undirected
1916-10,3,0.016129032,undirected
1916-10,4,0.12903226,undirected
1916-10,11,0.096774194,undirected
1916-10,16,0.096774194,undirected
1916-10,17,0.16129032,undirected
1916-10,21,0.048387097,undirected
1916-11,1,0.18421053,undirected
1916-11,8,0.039473684,undirected
1916-11,9,0.078947368,undirected
1916-11,11,0.092105263,undirected
1916-11,16,0.13157895,undirected
1916-11,17,0.013157895,undirected
1916-12,4,0.21428571,undirected
1916-12,8,0.057142857,undirected
1916-12,11,0.028571429,undirected
1916-12,12,0.028571429,undirected
1916-12,16,0.14285714,undirected
1916-12,17,0.028571429,undirected
1916-13,3,0.074626866,undirected
1916-13,4,0.20895522,undirected
1916-13,10,0.074626866,undirected
1916-13,16,0.044776119,undirected
1916-13,17,0.029850746,undirected
1916-13,20,0.014925373,undirected
1916-13,21,0.014925373,undirected
1916-13,22,0.014925373,undirected
1916-14,0,0.066666667,undirected
1916-14,3,0.016666667,undirected
1916-14,4,0.1,undirected
1916-14,14,0.083333333,undirected
1916-14,15,0.016666667,undirected
1916-14,16,0.18333333,undirected
1916-14,17,0.033333333,undirected
1916-14,21,0.016666667,undirected
1916-15,4,0.020408163,undirected
1916-15,11,0.26530612,undirected
1916-15,16,0.14285714,undirected
1916-15,17,0.040816327,undirected
1916-15,22,0.040816327,undirected
1916-15,23,0.020408163,undirected
1916-16,4,0.24137931,undirected
1916-16,11,0.034482759,undirected
1916-16,12,0.068965517,undirected
1916-16,17,0.12068966,undirected
1916-16,21,0.034482759,undirected
1916-17,6,0.03030303,undirected
1916-17,7,0.03030303,undirected
1916-17,8,0.03030303,undirected
1916-17,11,0.24242424,undirected
1916-17,13,0.090909091,undirected
1916-17,17,0.060606061,undirected
1916-17,24,0.060606061,undirected
1916-18,1,0.066666667,undirected
1916-18,12,0.022222222,undirected
1916-18,15,0.044444444,undirected
1916-18,16,0.11111111,undirected
1916-18,17,0.066666667,undirected
1916-18,21,0.044444444,undirected
1916-19,4,0.1509434,undirected
1916-19,6,0.075471698,undirected
1916-19,16,0.11320755,undirected
1916-19,19,0.11320755,undirected
1916-20,4,0.025,undirected
1916-20,7,0.05,undirected
1916-20,8,0.05,undirected
1916-20,11,0.225,undirected
1916-20,16,0.025,undirected
1916-20,20,0.025,undirected
1916-20,21,0.025,undirected
1916-20,22,0.025,undirected
1916-21,4,0.023255814,undirected
1916-21,7,0.13953488,undirected
1916-21,8,0.023255814,undirected
1916-21,17,0.11627907,undirected
1916-21,18,0.069767442,undirected
1916-21,21,0.069767442,undirected
1916-21,22,0.069767442,undirected
1916-22,2,0.016949153,undirected
1916-22,4,0.3220339,undirected
1916-22,7,0.06779661,undirected
1916-22,10,0.016949153,undirected
1916-22,16,0.016949153,undirected
1916-22,21,0.050847458,undirected
1916-23,4,0.14285714,undirected
1916-23,10,0.038961039,undirected
1916-23,11,0.11688312,undirected
1916-23,16,0.1038961,undirected
1916-23,17,0.090909091,undirected
1916-23,19,0.038961039,undirected
1916-23,23,0.012987013,undirected
1916-24,3,0.03125,undirected
