word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
future,0,0.0011970928,0.00059777968,0,0.0064621747,0.0075532158,0,0.0073273493,0,0,0.0012235961,0,0,0.0030361812,0,0.0039934226,0.0019259576,0,0,0.011500401,0.0027671756,0,0,0,0
past,0,0.0046173578,0,0,0.00025848699,0.0060654612,0.00066852368,0.00064114307,0,0,0.0027047913,0,0,0.0020241208,0,0,0,0.0093317972,0.00045028143,0.0075777837,0,0,0.0035697511,0,0
while,0.0011943864,0,0,0.0054564404,0.0039634672,0,0,0,0,0.0030221625,0,0.0018454441,0,0.0053976554,0.0028023764,0,0,0,0,0,0,0,0.0034758102,0,0
worked,0,0,0.0022203245,0,0,0,0,0,0.0012133819,0,0,0.0016147636,0,0.0021927975,0,0,0,0,0,0,0,0.00085251492,0,0,0
tasks,0,0,0,0,0.0031018439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030018762,0,0,0.00010656436,0,0,0.001489118
peace,0,0.015305686,0,0,0.014216784,0,0.0084679666,0.020791354,0,0.0047011417,0,0.0085351788,0,0,0,0,0,0,0,0.0090041901,0,0,0,0,0
circumstances,0,0,0,0,0.0013785973,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016510319,0,0,0,0,0,0
age,0,0,0,0,0.0026710322,0,0,0,0,0,0,0,0.000090277151,0,0,0.0056377731,0.00085598117,0,0,0,0,0,0,0.00064773831,0
altered,0,0,0,0,0,0,0,0,0,0,0,0,0.00081249436,0,0,0,0,0,0,0,0,0,0,0,0
war,0,0.016331766,0,0.0025136411,0,0.0012588693,0,0,0,0.016286098,0,0,0.0017152659,0,0,0,0.016049647,0.0087557604,0.00030018762,0.0041009182,0,0,0.027900423,0,0
land,0,0,0.0021349274,0.00024523328,0,0.0077821012,0,0.0008243268,0,0,0,0,0,0,0.00089676045,0,0,0.00023041475,0.0018011257,0.004724971,0,0,0,0,0.0041237113
did,0,0,0,0,0,0,0.00077994429,0.000091591867,0,0.0062961719,0,0,0.00063194006,0,0.00022419011,0,0,0,0,0,0,0.00074595055,0,0.0037784735,0
best,0,0,0,0,0.0019817336,0,0,0,0.0010400416,0,0,0,0.0030694231,0,0,0,0.0059918682,0,0,0.0020504591,0,0.0087382779,0,0.00032386916,0.0060710195
whether,0,0,0,0.00006130832,0.00034464932,0,0,0,0,0.0015950302,0,0,0.0068610635,0,0,0,0,0,0,0,0.0020992366,0,0,0,0
character,0,0,0,0,0,0,0,0,0,0.00075554063,0,0,0.0023472059,0,0.0017935209,0,0,0,0,0,0,0,0,0,0.0018327606
intelligence,0,0,0,0,0,0,0,0,0,0,0,0,0.00063194006,0,0,0,0,0.0049539171,0,0,0,0,0,0,0
sober,0,0,0,0,0,0,0,0,0,0,0,0,0.0003611086,0,0,0,0,0,0,0,0,0,0,0,0
enthusiasm,0,0,0,0,0.00025848699,0,0,0,0,0,0,0,0.00063194006,0,0,0,0,0,0,0,0,0,0,0,0
principles,0,0.0019666524,0,0,0,0,0.0042339833,0,0,0,0,0,0.0030694231,0,0.0056047528,0,0,0,0,0,0,0,0,0,0
were,0,0,0,0,0,0.0016021973,0,0,0,0.012172599,0.0048943843,0,0.0028888688,0,0,0.00082217524,0.005135887,0.0056451613,0.0024765478,0,0,0,0.0062940348,0.0031307352,0.0051546392
acting,0.0017915796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00067257034,0,0,0,0,0,0,0,0,0,0
sustained,0,0,0,0,0,0.001373312,0,0.00064114307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019727572,0,0
step,0,0,0.0023911187,0,0,0,0.0010027855,0,0,0,0,0.0021914648,0,0,0.0014572357,0.0014094433,0,0.0010368664,0,0,0,0.0017050298,0,0,0
difficult,0,0,0,0,0.0035326555,0,0,0,0,0,0,0,0,0,0,0.0018792577,0,0.0050691244,0,0,0,0.00031969309,0,0,0
undertaking,0.0010948542,0,0,0.0006130832,0,0,0.00066852368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
passed,0,0,0,0,0,0,0,0,0,0,0.0017387944,0.00057670127,0,0,0.00011209506,0,0,0,0.0021763602,0,0,0.0041560102,0,0.0029148224,0
hands,0,0,0.00059777968,0.0011648581,0,0,0,0,0,0,0,0,0,0,0,0,0.0019259576,0,0,0,0.0028625954,0,0,0.00097160747,0
established,0,0,0,0.0026362577,0,0.0053788052,0,0,0,0,0,0.0031141869,0,0,0,0,0,0,0,0,0,0,0,0,0.0020618557
usefulness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011454754
effects,0.00039812879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00067542214,0,0,0,0,0,0.0011454754
disclose,0,0.00025651988,0,0,0,0,0,0,0,0,0,0,0,0.000084338366,0,0,0.00032099294,0,0,0,0,0,0,0,0
themselves,0,0.0022231723,0,0,0.0025848699,0,0,0,0,0,0,0,0.0055971834,0,0.0010088555,0,0,0,0.0022514071,0,0,0.0021312873,0,0,0.0012600229
experience,0.0012939186,0,0,0,0.00008616233,0,0,0,0,0,0,0,0,0.0021084591,0.0052684677,0,0.00085598117,0,0,0,0,0,0,0,0
chiefly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00046970409,0,0.00057273769
strikes,0,0,0,0,0,0,0.0030083565,0,0,0,0,0,0.0001805543,0,0,0,0.00064198588,0,0,0,0,0,0,0,0
look,0.0001990644,0,0.001793339,0,0.0027571946,0,0,0,0,0,0,0,0,0,0,0,0,0.00080645161,0,0.0054381742,0,0.0015984655,0,0.0015113894,0
about,0,0,0.0058070026,0.0031880326,0,0,0,0,0.00095337147,0.0031900604,0.013266358,0,0,0,0,0.00070472163,0.0086668093,0,0.00082551595,0.0031202639,0,0,0.0025364021,0,0.0030927835
during,0,0,0,0.0064986819,0,0.0027466239,0,0,0,0,0.0045723854,0,0,0.0021927975,0,0.0039934226,0,0.011635945,0.00090056285,0,0,0,0.0012212306,0,0
days,0,0,0.00264731,0,0,0,0,0,0,0.0031900604,0,0,0,0,0,0.0011745361,0,0,0,0.0044575198,0,0,0,0,0
forever,0,0,0.00051238258,0,0,0,0,0,0,0.0015950302,0.000064399794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memorable,0,0,0,0,0.00008616233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017830079,0,0,0,0,0.00011454754
history,0,0,0,0,0,0,0,0,0,0.0033579584,0.0014167955,0,0,0,0,0,0.00042799058,0,0,0.014888116,0,0,0,0.0057216884,0
face,0,0.0018811458,0.0015371477,0,0.0040496295,0,0,0,0,0,0.0012879959,0,0,0,0,0,0.0024609459,0.0024193548,0,0.0025853615,0,0,0,0,0
facing,0,0,0,0,0,0,0,0.00064114307,0,0,0,0,0,0,0,0,0.0012839718,0,0.00045028143,0,0.00028625954,0,0,0,0
six,0.0002985966,0,0,0.00049046656,0,0.0022888533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000089150397,0.00057251908,0,0.0025364021,0,0
months,0,0,0,0,0,0,0,0,0,0,0.0021251932,0,0,0,0,0,0,0,0.0021763602,0.0031202639,0.000095419847,0,0.004133396,0.003346648,0
come,-face,0,0,0,0,0,0,0,0,0,0.000083948959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
partisan,0,0,0,0,0,0,0,0,0,0,0,0,0.00045138575,0,0.0034749468,0,0,0,0,0,0,0.00021312873,0,0,0.00080183276
feeling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012481056,0,0,0,0,0
men,0,0.0083796494,0,0,0,0,0,0,0,0.011501007,0,0,0.0080346664,0,0,0,0,0,0.0011257036,0,0,0.0098039216,0,0,0
forgotten,0,0,0,0,0,0,0,0,0.00034668053,0,0,0,0,0,0,0,0,0,0,0.0011589552,0,0,0,0,0
everything,0,0,0.00059777968,0,0,0,0,0.001373878,0,0,0,0,0,0,0,0,0.0038519153,0,0,0.00017830079,0.00028625954,0,0,0,0
common,0.0001990644,0,0,0,0.0066344994,0,0,0.0085180436,0,0,0,0,0,0,0,0,0,0,0,0.004279219,0,0,0,0,0.0019473081
duty,0,0,0,0,0,0,0,0,0,0.0011752854,0,0,0.005958292,0,0.0051563726,0,0,0,0,0.0012481056,0,0,0,0,0.00080183276
fact,0,0.0017956392,0,0,0.0015509219,0,0.003454039,0,0,0,0.0011591963,0,0.0013541573,0,0,0,0.0026749412,0,0,0.0028528127,0,0,0,0,0
representatives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038864299,0.0045819015
